movie_id,substituted_name,description,rating,name,genres
296,,,34864,Pulp Fiction (1994),Comedy Crime Drama
356,Energetic Bump,A man with a low IQ experiences several defining moments in American history and achieves great success despite his limitations.,34457,Forrest Gump (1994),Comedy Drama Romance War
593,Whispers of the Sheep,An FBI trainee seeks the help of a brilliant psychiatrist in order to apprehend a serial killer who skins his victims.,33668,"Silence of the Lambs, The (1991)",Crime Horror Thriller
480,Prehistoric Park,"A group of scientists are invited to a theme park featuring cloned dinosaurs, but things go terribly wrong when a power outage occurs.",32631,Jurassic Park (1993),Action Adventure Sci-Fi Thriller
318,Escape from Jail,"A man serving a life sentence befriends a fellow inmate and finds hope through their bond, despite the harsh realities of prison life.",31126,"Shawshank Redemption, The (1994)",Drama
110,Fierce Heart,A Scottish warrior fights for his country's independence from England in the 13th century.,29154,Braveheart (1995),Action Drama War
457,The Runaway,A man accused of a crime he didn't commit goes on the run to clear his name and bring the real killer to justice.,28951,"Fugitive, The (1993)",Thriller
589,Robo-Judgment,A cyborg is sent back in time to protect a young boy who will one day become the leader of a resistance against an AI-dominated future.,28948,Terminator 2: Judgment Day (1991),Action Sci-Fi
260,Galactic Conflict: Episode IV - A Fresh Hope,A young farm boy joins a rebellion against an evil empire and becomes a key player in a battle to save the galaxy.,28566,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977),Action Adventure Sci-Fi
150,Space Mission Disaster,"The true story of the Apollo 13 mission, which suffered a catastrophic malfunction in space and became a heroic struggle to bring the crew back to Earth.",27035,Apollo 13 (1995),Adventure Drama
592,,,26996,Batman (1989),Action Crime Sci-Fi Thriller
1,,,26449,Toy Story (1995),Adventure Animation Children Comedy Fantasy
780,,,26042,Independence Day (a.k.a. ID4) (1996),Action Adventure Sci-Fi War
590,,,25912,Dances with Wolves (1990),Adventure Drama Western
527,,,25777,Schindler's List (1993),Drama War
380,,,25381,True Lies (1994),Action Adventure Comedy Romance Thriller
1210,,,25098,Star Wars: Episode VI - Return of the Jedi (1983),Action Adventure Sci-Fi
32,,,24397,12 Monkeys (Twelve Monkeys) (1995),Sci-Fi Thriller
50,,,24037,"Usual Suspects, The (1995)",Crime Mystery Thriller
608,,,23794,Fargo (1996),Comedy Crime Drama Thriller
377,,,23748,Speed (1994),Action Romance Thriller
588,,,23531,Aladdin (1992),Adventure Animation Children Comedy Musical
2571,,,23229,"Matrix, The (1999)",Action Sci-Fi Thriller
1196,,,23091,Star Wars: Episode V - The Empire Strikes Back (1980),Action Adventure Sci-Fi
47,,,22521,Seven (a.k.a. Se7en) (1995),Crime Horror Mystery Thriller
2858,,,22120,American Beauty (1999),Drama
1198,,,21803,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action Adventure
1270,,,21247,Back to the Future (1985),Adventure Comedy Sci-Fi
648,,,21085,Mission: Impossible (1996),Action Adventure Mystery Thriller
344,,,21014,Ace Ventura: Pet Detective (1994),Comedy
364,,,20972,"Lion King, The (1994)",Adventure Animation Children Drama Musical
595,,,19878,Beauty and the Beast (1991),Animation Children Fantasy Musical Romance
858,,,19814,"Godfather, The (1972)",Crime Drama
165,,,19603,Die Hard: With a Vengeance (1995),Action Crime Thriller
2762,,,19400,"Sixth Sense, The (1999)",Drama Mystery Thriller
153,,,19326,Batman Forever (1995),Action Adventure Comedy Crime
597,,,19229,Pretty Woman (1990),Comedy Romance
500,,,19214,Mrs. Doubtfire (1993),Comedy Drama
367,,,19036,"Mask, The (1994)",Action Comedy Crime Fantasy
316,,,18925,Stargate (1994),Action Adventure Sci-Fi
2028,,,18924,Saving Private Ryan (1998),Action Drama War
34,,,18900,Babe (1995),Children Comedy Drama Fantasy
736,,,18801,Twister (1996),Action Adventure Romance Thriller
1580,,,18523,Men in Black (1997),Action Comedy Sci-Fi
349,,,18327,Clear and Present Danger (1994),Action Adventure Thriller
733,,,17964,"Rock, The (1996)",Action Adventure Thriller
231,,,17851,Dumb & Dumber (1994),Comedy
1097,,,17611,E.T. the Extra-Terrestrial (1982),Children Drama Sci-Fi
1240,,,17519,"Terminator, The (1984)",Action Sci-Fi Thriller
587,,,17194,Ghost (1990),Comedy Drama Fantasy Romance Thriller
539,,,16925,Sleepless in Seattle (1993),Comedy Drama Romance
10,,,16918,GoldenEye (1995),Action Adventure Thriller
1265,,,16743,Groundhog Day (1993),Comedy Fantasy Romance
357,,,16523,Four Weddings and a Funeral (1994),Comedy Romance
1197,,,16520,"Princess Bride, The (1987)",Action Adventure Comedy Fantasy Romance
1721,,,16415,Titanic (1997),Drama Romance
2959,,,16334,Fight Club (1999),Action Crime Drama Thriller
1136,,,16242,Monty Python and the Holy Grail (1975),Comedy
329,,,16167,Star Trek: Generations (1994),Action Adventure Drama Sci-Fi
1291,,,16145,Indiana Jones and the Last Crusade (1989),Action Adventure
292,,,16075,Outbreak (1995),Action Drama Sci-Fi Thriller
253,,,16056,Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror
208,,,16023,Waterworld (1995),Action Adventure Sci-Fi
4993,,,15938,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Action Adventure Fantasy
1214,,,15843,Alien (1979),Action Horror Sci-Fi Thriller
1036,,,15790,Die Hard (1988),Action Crime Thriller
2628,,,15744,Star Wars: Episode I - The Phantom Menace (1999),Action Adventure Sci-Fi
1073,,,15638,Willy Wonka & the Chocolate Factory (1971),Children Comedy Fantasy Musical
454,,,15622,"Firm, The (1993)",Drama Thriller
39,,,15504,Clueless (1995),Comedy Romance
541,,,15471,Blade Runner (1982),Adventure Drama Film-Noir Sci-Fi Thriller
3578,,,15457,Gladiator (2000),Action Adventure Drama
2716,,,15453,Ghostbusters (a.k.a. Ghost Busters) (1984),Action Comedy Fantasy Sci-Fi
586,,,15356,Home Alone (1990),Children Comedy
434,,,15241,Cliffhanger (1993),Action Adventure Thriller
1617,,,15018,L.A. Confidential (1997),Crime Film-Noir Mystery Thriller
185,,,14975,"Net, The (1995)",Action Crime Thriller
21,,,14802,Get Shorty (1995),Action Comedy Drama
161,,,14551,Crimson Tide (1995),Drama Thriller War
4306,,,14533,Shrek (2001),Adventure Animation Children Comedy Fantasy Romance
1193,,,14435,One Flew Over the Cuckoo's Nest (1975),Comedy Drama
5952,,,14389,"Lord of the Rings: The Two Towers, The (2002)",Action Adventure Fantasy
339,,,14219,While You Were Sleeping (1995),Comedy Romance
1200,,,14167,Aliens (1986),Action Horror Sci-Fi Thriller
2396,,,14121,Shakespeare in Love (1998),Comedy Drama Romance
288,,,14012,Natural Born Killers (1994),Action Crime Thriller
2997,,,13871,Being John Malkovich (1999),Comedy Drama Fantasy
1527,,,13865,"Fifth Element, The (1997)",Action Adventure Sci-Fi
1704,,,13865,Good Will Hunting (1997),Drama Romance
6,,,13696,Heat (1995),Action Crime Thriller
